id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2224564,2008
tt5491994,"Planet Earth II",Documentary,9.5,161391,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,543469,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222912,2006
tt5152226,"Tree of Life",Drama,9.4,11862,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,901887,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388990,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,387548,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70844,2023
tt6769208,"Blue Planet II",Documentary,9.3,48196,2017
tt0081846,Cosmos,Documentary,9.3,45209,1980
tt7678620,Bluey,"Animation, Family",9.3,32459,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11252,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2358363,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,495036,1999
tt14392248,Aspirants,Drama,9.2,313530,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160202,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130660,2014
tt9253866,"Our Planet",Documentary,9.2,53094,2019
tt9471404,"The Chosen","Drama, History",9.2,50794,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33570,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30478,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11831,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021971,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,624283,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,553831,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206966,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158397,2020
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,97258,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75841,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,73292,2015
tt1533395,Life,Documentary,9.1,43356,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,28839,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24334,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,18060,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18025,2017
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13494,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12827,2021
tt7923710,"My Mister","Drama, Family",9.1,10442,2018
tt0386676,"The Office",Comedy,9,742243,2005
tt3032476,"Better Call Saul","Crime, Drama",9,685318,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,292341,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,265084,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,146753,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,121299,1992
tt12004706,Panchayat,"Comedy, Drama",9,97781,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,96196,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85398,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,65406,2021
tt0081912,"Only Fools and Horses",Comedy,9,57865,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,48629,2018
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,44139,2022
tt21279678,"NCR Days",Drama,9,43894,2022
tt0296310,"The Blue Planet",Documentary,9,43416,2001
tt2092588,"Frozen Planet",Documentary,9,33496,2011
tt1806234,"Human Planet",Documentary,9,28101,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26260,2018
tt0268093,Ramayan,"Adventure, Drama, Family",9,24654,1987
tt13675832,"As If",Comedy,9,24466,2021
tt4934214,Taskmaster,"Comedy, Game-Show",9,21361,2015
tt0098769,"The Civil War","Documentary, History, War",9,19107,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,14665,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13280,2015
tt3212600,Mahabharat,"Drama, History, War",9,12187,2013
tt0108778,Friends,"Comedy, Romance",8.9,1113882,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,674632,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,431739,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,398053,2006
tt0098904,Seinfeld,Comedy,8.9,359295,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,285442,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,145180,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,145075,1998
tt0200276,"The West Wing",Drama,8.9,87860,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,40208,2013
tt9735318,"The Beatles: Get Back","Biography, Documentary, Music",8.9,29307,2021
tt0092337,Dekalog,Drama,8.9,28476,1989
tt1909015,Undercover,"Action, Crime, Drama",8.9,27821,2011
tt22248376,"Frieren: Beyond Journey's End","Adventure, Animation, Drama",8.9,25309,2023
tt0158417,Mahabharat,"Action, Adventure, Drama",8.9,23985,1988
tt13868972,"Rocket Boys","Drama, History",8.9,18468,2022
tt1518542,"Sarabhai V/S Sarabhai",Comedy,8.9,18440,2004
tt2571774,Africa,Documentary,8.9,17385,2013
tt5851616,"Tash ma Tash","Comedy, Drama",8.9,10713,1992
tt11992526,Harga,Drama,8.9,10016,2021
tt10986410,"Ted Lasso","Comedy, Drama, Sport",8.8,370523,2020
tt7660850,Succession,"Comedy, Drama",8.8,292951,2018
tt0472954,"It's Always Sunny in Philadelphia",Comedy,8.8,257976,2005
tt0098936,"Twin Peaks","Crime, Drama, Mystery",8.8,220561,1990
tt3398228,"BoJack Horseman","Animation, Comedy, Drama",8.8,198220,2014
tt0193676,"Freaks and Geeks","Comedy, Drama",8.8,155682,1999
tt0214341,"Dragon Ball Z","Action, Adventure, Animation",8.8,153475,1996
tt0264235,"Curb Your Enthusiasm",Comedy,8.8,151557,2000
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,142017,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123073,2021
tt0072500,"Fawlty Towers",Comedy,8.8,101724,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,97240,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,94177,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,90549,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,83463,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,79782,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77221,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,74948,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,73211,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,57777,1989
tt15435876,"The Penguin","Crime, Drama",8.8,47129,2024
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,36983,2024
tt0081834,"Das Boot","Drama, War",8.8,33930,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33494,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33046,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19814,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17350,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,15633,2023
tt9566030,"Pew News","Comedy, News",8.8,14793,2018
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12621,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12195,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11288,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1386718,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,731460,2019
tt2442560,"Peaky Blinders","Crime, Drama",8.7,678618,2013
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,658812,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,574093,2023
tt0412142,House,"Drama, Mystery",8.7,534613,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,482932,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,464694,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,443832,1989
tt0121955,"South Park","Animation, Comedy",8.7,413367,1997
tt0367279,"Arrested Development",Comedy,8.7,329089,2003
tt0804503,"Mad Men",Drama,8.7,266836,2007
tt4236770,Yellowstone,"Drama, Western",8.7,236880,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,229436,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,225329,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,220266,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,213687,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,192828,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189739,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,181671,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,178639,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,163022,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,153572,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,146474,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,139714,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129459,2002
tt13991232,1883,"Drama, Western",8.7,123312,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,109061,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101324,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90199,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,87601,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,84660,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,79240,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,73920,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,72652,2012
tt0387764,"Peep Show",Comedy,8.7,68104,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58698,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,49963,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,45519,2019
tt0111958,"Father Ted",Comedy,8.7,44673,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39353,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38580,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,34659,2018
tt0459159,"The Thick of It",Comedy,8.7,26781,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26703,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,24726,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22436,2019
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21492,2023
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21363,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,19795,2022
tt0080306,"Yes Minister",Comedy,8.7,16940,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16406,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,15018,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,14983,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14111,2020
tt11007006,Azize,Drama,8.7,13952,2019
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13686,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13504,1972
tt7621364,"Black Pearl",Drama,8.7,13180,2017
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12620,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11674,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,11016,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10598,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,799425,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,604508,2019
tt1856010,"House of Cards",Drama,8.6,537785,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,484607,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,351270,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,331200,2008
tt1266020,"Parks and Recreation",Comedy,8.6,295019,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263370,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,255892,1993
tt14452776,"The Bear","Comedy, Drama",8.6,250702,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206648,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,183295,2024
tt1486217,Archer,"Action, Animation, Comedy",8.6,168594,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,168214,2019
tt0096657,"Mr. Bean","Comedy, Family",8.6,137445,1990
tt1870479,"The Newsroom",Drama,8.6,127073,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121701,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120255,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117156,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,108769,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90958,2016
tt9174558,Dopesick,Drama,8.6,82161,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78427,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69689,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54371,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53606,1989
tt0088484,"Blackadder II",Comedy,8.6,50696,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49584,2016
tt0092324,"Blackadder the Third",Comedy,8.6,47774,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47096,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46720,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45578,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42540,2022
tt5288312,Skam,"Drama, Romance",8.6,39604,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38150,2020
