Quote,Author,Book,Tags
“Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”,"Markus Zusak,",The Book Thief,"pain, sadness, stoicism"
"“If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.”","Marcus Aurelius,",Meditations,"attitude, distress, mind-over-body, pain, stoicism"
"“Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.”","Marcus Aurelius,",Meditations,"equanimity, future, inspirational, reason, stoic, stoicism, worry"
“It is the power of the mind to be unconquerable.”,"Seneca,",The Stoic Philosophy of Seneca: Essays and Letters,"consicousness, dissociation, mind, stoicism, transcendence, zen"
“Warriors should suffer their pain silently.”,"Erin Hunter,",Into the Wild,"erin, hunter, hurt, pain, stoicism, suffer, tigerclaw, tigerstar, warrior, warriors"
"“Until we have begun to go without them, we fail to realize how unnecessary many things are. We've been using them not because we needed them but because we had them.”","Lucius Annaeus Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
“Complaining does not work as a strategy. We all have finite time and energy. Any time we spend whining is unlikely to help us achieve our goals. And it won't make us happier.”,"Randy Pausch,",The Last Lecture,"complaining, stoicism"
"“Life is such unutterable hell, solely because it is sometimes beautiful. If we could only be miserable all the time, if there could be no such things as love or beauty or faith or hope, if I could be absolutely certain that my love would never be returned: how much more simple life would be. One could plod through the Siberian salt mines of existence without being bothered about happiness. Unfortunately the happiness is there. There is always the chance (about eight hundred and fifty to one) that another heart will come to mine. I can't help hoping, and keeping faith, and loving beauty. Quite frequently I am not so miserable as it would be wise to be.”","T.H. White,","Ghostly, Grim and Gruesome","beauty, faith, happiness, hope, life, living, love, misery, pain, positivity, stoicism"
"“A Stoic is someone who transforms fear into prudence, pain into transformation, mistakes into initiation, and desire into undertaking.”",Taleb Nassim Nicholas,N/A,stoicism
"“Remember, it is not enough to be hit or insulted to be harmed, you must believe that you are being harmed. If someone succeeds in provoking you, realize that your mind is complicit in the provocation. Which is why it is essential that we not respond impulsively to impressions; take a moment before reacting, and you will find it easier to maintain control.”","Epictetus,","The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness","philosophy, self-control, stoic, stoicism"
"“People hide their truest nature. I understood that; I even applauded it. What sort of world would it be if people bled all over the sidewalks, if they wept under trees, smacked whomever they despised, kissed strangers, revealed themselves?”","Alice Hoffman,",The Ice Queen,"restraint, stoicism"
“The things you think about determine the quality of your mind.”,"Marcus Aurelius,",Meditations,"empowerment, marcus-aurelius, mind, philosophy, self-improvement, stoicism, thoughts"
